Gm#,Day_of_Week,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
144,Tuesday,9/12/2017,boxscore,BOS,,OAK,W,11,1,,82-62,1,up 4.0,Rodriguez,Manaea,,3:06,N,34355,+,
145,Wednesday,9/13/2017,boxscore,BOS,,OAK,L,3,7,,82-63,1,up 3.0,Cotton,Fister,,3:07,N,36366,-,
146,Thursday,9/14/2017,boxscore,BOS,,OAK,W,6,2,,83-63,1,up 3.0,Pomeranz,Gossett,,3:19,D,35470,+,
147,Friday,9/15/2017,boxscore,BOS,@,TBR,W,13,6,15,84-63,1,up 3.0,Workman,Pruitt,,6:05,N,16006,++,
148,Saturday,9/16/2017,boxscore,BOS,@,TBR,W,3,1,,85-63,1,up 3.0,Porcello,Cobb,Kimbrel,2:44,N,14942,+++,
149,Sunday,9/17/2017,boxscore,BOS,@,TBR,L,2,3,,85-64,1,up 3.0,Odorizzi,Rodriguez,Colome,2:37,D,14936,-,
150,Monday,9/18/2017,boxscore,BOS,@,BAL,W,10,8,11,86-64,1,up 3.0,Barnes,Castro,Smith,4:24,N,16716,+,
151,Tuesday,9/19/2017,boxscore,BOS,@,BAL,W,1,0,11,87-64,1,up 3.0,Kelly,Brach,Barnes,3:27,N,21449,++,
152,Wednesday,9/20/2017,boxscore,BOS,@,BAL,W,9,0,,88-64,1,up 3.0,Sale,Miley,,3:11,N,16906,+++,
153,Friday,9/22/2017,boxscore,BOS,@,CIN,W,5,4,,89-64,1,up 4.0,Price,Romano,Kimbrel,2:45,N,23463,++++,
154,Saturday,9/23/2017,boxscore,BOS,@,CIN,W,5,0,,90-64,1,up 4.0,Rodriguez,Stephenson,,2:51,D,36076,+++++,
155,Sunday,9/24/2017,boxscore,BOS,@,CIN,W,5,4,,91-64,1,up 5.0,Scott,Iglesias,Kimbrel,3:11,D,25545,++++++,
156,Monday,9/25/2017,boxscore,BOS,,TOR,L,4,6,,91-65,1,up 4.0,Anderson,Pomeranz,Osuna,2:57,N,33940,-,
157,Tuesday,9/26/2017,boxscore,BOS,,TOR,L,4,9,,91-66,1,up 3.0,Happ,Sale,,3:04,N,33999,--,
158,Wednesday,9/27/2017,boxscore,BOS,,TOR,W,10,7,,92-66,1,up 3.0,Porcello,Estrada,,2:57,N,34445,+,
159,Thursday,9/28/2017,boxscore,BOS,,HOU,L,2,12,,92-67,1,up 3.0,Peacock,Rodriguez,,3:31,N,34222,-,
160,Friday,9/29/2017,boxscore,BOS,,HOU,L,2,3,,92-68,1,up 2.0,Morton,Fister,Giles,2:47,N,36623,--,
161,Saturday,9/30/2017,boxscore,BOS,,HOU,W,6,3,,93-68,1,up 2.0,Pomeranz,McCullers,,3:19,D,35722,+,
162,Sunday,10/1/2017,boxscore,BOS,,HOU,L,3,4,,93-69,1,up 2.0,McHugh,Abad,Clippard,3:09,D,34517,-,
