Gm#,Day_Of_Week,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
124,Sunday, 8/23/2015,boxscore,BOS,,KCR,L,6,8,,56-68,5,13,Young,Tazawa,Davis,3:40,D,36151,--,
125,Monday, 8/24/2015,boxscore,BOS,@,CHW,W,5,4,,57-68,5,12.5,Kelly,Samardzija,Machi,3:10,N,18051,+,
126,Tuesday, 8/25/2015,boxscore,BOS,@,CHW,L,4,5,,57-69,5,13.5,Petricka,Miley,Robertson,3:00,N,14393,-,
127,Wednesday, 8/26/2015,boxscore,BOS,@,CHW,W,3,0,,58-69,5,13.5,Porcello,Jones,Tazawa,2:31,N,17812,+,
128,Friday, 8/28/2015,boxscore,BOS,@,NYM,W,6,4,10,59-69,5,13,Layne,Torres,Breslow,3:59,N,39401,++,
129,Saturday, 8/29/2015,boxscore,BOS,@,NYM,W,3,1,,60-69,5,13,Kelly,deGrom,Machi,2:51,D,43255,+++,
130,Sunday, 8/30/2015,boxscore,BOS,@,NYM,L,4,5,,60-70,5,14,Clippard,Ross,Familia,2:56,D,38938,-,
131,Monday, 8/31/2015,boxscore,BOS,,NYY,W,4,3,,61-70,5,13,Rodriguez,Nova,Machi,3:44,N,36148,+,
132,Tuesday, 9/1/2015,boxscore,BOS,,NYY,L,1,3,,61-71,5,14,Pineda,Porcello,Miller,2:41,N,35077,-,
133,Wednesday, 9/2/2015,boxscore,BOS,,NYY,L,8,13,,61-72,5,15,Tanaka,Owens,,3:33,D,34416,--,
134,Friday, 9/4/2015,boxscore,BOS,,PHI,W,7,5,,62-72,5,14,Kelly,Morgan,Ross,3:22,N,33674,+,
135,Saturday, 9/5/2015,boxscore,BOS,,PHI,W,9,2,,63-72,5,14,Miley,Asher,,2:24,D,36534,++,
136,Sunday, 9/6/2015,boxscore,BOS,,PHI,W,6,2,,64-72,5,14,Rodriguez,Eickhoff,,2:57,D,34708,+++,
137,Monday, 9/7/2015,boxscore,BOS,,TOR,W,11,4,,65-72,4,13,Porcello,Buehrle,,2:48,D,33659,++++,
138,Tuesday, 9/8/2015,boxscore,BOS,,TOR,L,1,5,10,65-73,5,14,Sanchez,Ogando,,3:23,N,33432,-,
139,Wednesday, 9/9/2015,boxscore,BOS,,TOR,W,10,4,,66-73,5,13,Kelly,Hutchison,,3:31,N,34464,+,
140,Friday, 9/11/2015,boxscore,BOS,@,TBR,L,4,8,,66-74,5,14,Bellatti,Tazawa,,3:26,N,14796,-,
141,Saturday, 9/12/2015,boxscore,BOS,@,TBR,W,10,4,,67-74,5,14.5,Porcello,Moore,,2:56,N,20698,+,
142,Sunday, 9/13/2015,boxscore,BOS,@,TBR,W,2,0,13,68-74,5,13.5,Hembree,Romero,Ross,4:05,D,15402,++,
143,Monday, 9/14/2015,boxscore,BOS,@,BAL,L,0,2,,68-75,5,14,Gausman,Rodriguez,Britton,2:56,N,19666,-,
144,Tuesday, 9/15/2015,boxscore,BOS,@,BAL,L-wo,5,6,13,68-76,5,14,Roe,Aro,,4:20,N,21260,--,
145,Wednesday, 9/16/2015,boxscore,BOS,@,BAL,W,10,1,,69-76,5,14,Owens,Wright,,2:51,N,22642,+,
146,Friday, 9/18/2015,boxscore,BOS,@,TOR,L,1,6,,69-77,5,15.5,Stroman,Porcello,,2:32,N,47126,-,
